,Date,Value,season,Date.adjust
122,6/30/2021,1.0668,Early Wet Season,7/15/2021
123,7/1/2021,2.6924,Early Wet Season,7/16/2021
124,7/2/2021,0.6858,Early Wet Season,7/17/2021
125,7/3/2021,0.0254,Early Wet Season,7/18/2021
126,7/4/2021,3.175,Early Wet Season,7/19/2021
127,7/5/2021,0,Early Wet Season,7/20/2021
128,7/6/2021,2.9464,Early Wet Season,7/21/2021
129,7/7/2021,1.9304,Early Wet Season,7/22/2021
130,7/8/2021,2.8702,Early Wet Season,7/23/2021
131,7/9/2021,2.54,Early Wet Season,7/24/2021
132,7/10/2021,1.143,Early Wet Season,7/25/2021
133,7/11/2021,2.4384,Early Wet Season,7/26/2021
134,7/12/2021,0,Early Wet Season,7/27/2021
135,7/13/2021,0.4318,Early Wet Season,7/28/2021
136,7/14/2021,0.4826,Early Wet Season,7/29/2021
137,7/15/2021,0.4572,Early Wet Season,7/30/2021
138,7/16/2021,0,Early Wet Season,7/31/2021
139,7/17/2021,0,Early Wet Season,8/1/2021
140,7/18/2021,0.127,Early Wet Season,8/2/2021
141,7/19/2021,0,Early Wet Season,8/3/2021
142,7/20/2021,0.2032,Early Wet Season,8/4/2021
143,7/21/2021,0.3302,Early Wet Season,8/5/2021
144,7/22/2021,0.0254,Early Wet Season,8/6/2021
145,7/23/2021,0,Early Wet Season,8/7/2021
146,7/24/2021,0.6096,Early Wet Season,8/8/2021
147,7/25/2021,1.2954,Early Wet Season,8/9/2021
148,7/26/2021,0,Early Wet Season,8/10/2021
149,7/27/2021,0.0254,Early Wet Season,8/11/2021
150,7/28/2021,0.6096,Early Wet Season,8/12/2021
151,7/29/2021,0.4064,Early Wet Season,8/13/2021
152,7/30/2021,0.2286,Early Wet Season,8/14/2021
153,7/31/2021,0,Early Wet Season,8/15/2021
154,8/1/2021,0.0254,Early Wet Season,8/16/2021
155,8/2/2021,0,Early Wet Season,8/17/2021
156,8/3/2021,0.7874,Early Wet Season,8/18/2021
157,8/4/2021,2.8956,Early Wet Season,8/19/2021
158,8/5/2021,2.6924,Early Wet Season,8/20/2021
159,8/6/2021,0,Early Wet Season,8/21/2021
160,8/7/2021,2.6416,Early Wet Season,8/22/2021
161,8/8/2021,0.2794,Early Wet Season,8/23/2021
162,8/9/2021,1.8288,Early Wet Season,8/24/2021
163,8/10/2021,2.2352,Early Wet Season,8/25/2021
164,8/11/2021,0,Early Wet Season,8/26/2021
165,8/12/2021,0,Early Wet Season,8/27/2021
166,8/13/2021,0.9906,Early Wet Season,8/28/2021
167,8/14/2021,1.4224,Early Wet Season,8/29/2021
168,8/15/2021,0.9144,Early Wet Season,8/30/2021
169,8/16/2021,0.0508,Early Wet Season,8/31/2021
170,8/17/2021,0.0254,Early Wet Season,9/1/2021
171,8/18/2021,0,Early Wet Season,9/2/2021
172,8/19/2021,0,Early Wet Season,9/3/2021
173,8/20/2021,0,Early Wet Season,9/4/2021
174,8/21/2021,0,Early Wet Season,9/5/2021
175,8/22/2021,0,Early Wet Season,9/6/2021
176,8/23/2021,0.0508,Early Wet Season,9/7/2021
177,8/24/2021,0.1778,Early Wet Season,9/8/2021
178,8/25/2021,0,Early Wet Season,9/9/2021
179,8/26/2021,0.889,Early Wet Season,9/10/2021
180,8/27/2021,0.0254,Early Wet Season,9/11/2021
181,8/28/2021,0.381,Early Wet Season,9/12/2021
182,8/29/2021,0,Early Wet Season,9/13/2021
183,8/30/2021,0.4318,Early Wet Season,9/14/2021
184,8/31/2021,1.7018,Early Wet Season,9/15/2021
185,9/1/2021,0,Early Wet Season,9/16/2021
186,9/2/2021,0,Early Wet Season,9/17/2021
187,9/3/2021,0.0508,Early Wet Season,9/18/2021
188,9/4/2021,0,Early Wet Season,9/19/2021
189,9/5/2021,4.2418,Early Wet Season,9/20/2021
190,9/6/2021,0,Early Wet Season,9/21/2021
191,9/7/2021,0,Early Wet Season,9/22/2021
192,9/8/2021,0,Early Wet Season,9/23/2021
193,9/9/2021,0.6858,Early Wet Season,9/24/2021
194,9/10/2021,0.127,Early Wet Season,9/25/2021
195,9/11/2021,1.0922,Early Wet Season,9/26/2021
196,9/12/2021,0,Early Wet Season,9/27/2021
197,9/13/2021,0,Early Wet Season,9/28/2021
198,9/14/2021,0.0508,Early Wet Season,9/29/2021
199,9/15/2021,3.7338,Early Wet Season,9/30/2021
200,9/16/2021,2.794,Late Wet Season,10/1/2021
201,9/17/2021,0.0254,Late Wet Season,10/2/2021
202,9/18/2021,0.4064,Late Wet Season,10/3/2021
203,9/19/2021,0.2794,Late Wet Season,10/4/2021
204,9/20/2021,2.7432,Late Wet Season,10/5/2021
205,9/21/2021,3.2004,Late Wet Season,10/6/2021
206,9/22/2021,5.2324,Late Wet Season,10/7/2021
207,9/23/2021,0.0762,Late Wet Season,10/8/2021
208,9/24/2021,0.1016,Late Wet Season,10/9/2021
209,9/25/2021,0.0508,Late Wet Season,10/10/2021
210,9/26/2021,0,Late Wet Season,10/11/2021
211,9/27/2021,0,Late Wet Season,10/12/2021
212,9/28/2021,0,Late Wet Season,10/13/2021
213,9/29/2021,0,Late Wet Season,10/14/2021
214,9/30/2021,0,Late Wet Season,10/15/2021
215,10/1/2021,0,Late Wet Season,10/16/2021
216,10/2/2021,0,Late Wet Season,10/17/2021
217,10/3/2021,0,Late Wet Season,10/18/2021
218,10/4/2021,0,Late Wet Season,10/19/2021
219,10/5/2021,0,Late Wet Season,10/20/2021
220,10/6/2021,0,Late Wet Season,10/21/2021
221,10/7/2021,0,Late Wet Season,10/22/2021
222,10/8/2021,1.9558,Late Wet Season,10/23/2021
223,10/9/2021,0.6096,Late Wet Season,10/24/2021
224,10/10/2021,4.0132,Late Wet Season,10/25/2021
225,10/11/2021,0,Late Wet Season,10/26/2021
226,10/12/2021,0,Late Wet Season,10/27/2021
227,10/13/2021,0,Late Wet Season,10/28/2021
228,10/14/2021,3.0734,Late Wet Season,10/29/2021
229,10/15/2021,0,Late Wet Season,10/30/2021
230,10/16/2021,0,Late Wet Season,10/31/2021
231,10/17/2021,0,Late Wet Season,11/1/2021
232,10/18/2021,0,Late Wet Season,11/2/2021
233,10/19/2021,0,Late Wet Season,11/3/2021
234,10/20/2021,0,Late Wet Season,11/4/2021
235,10/21/2021,0,Late Wet Season,11/5/2021
236,10/22/2021,0,Late Wet Season,11/6/2021
237,10/23/2021,0,Late Wet Season,11/7/2021
238,10/24/2021,0,Late Wet Season,11/8/2021
239,10/25/2021,0.0254,Late Wet Season,11/9/2021
240,10/26/2021,0.0508,Late Wet Season,11/10/2021
241,10/27/2021,0,Late Wet Season,11/11/2021
242,10/28/2021,0,Late Wet Season,11/12/2021
243,10/29/2021,0.4064,Late Wet Season,11/13/2021
244,10/30/2021,0.0762,Late Wet Season,11/14/2021
245,10/31/2021,0,Late Wet Season,11/15/2021
246,11/1/2021,0,Late Wet Season,11/16/2021
247,11/2/2021,0,Late Wet Season,11/17/2021
248,11/3/2021,0,Late Wet Season,11/18/2021
249,11/4/2021,0,Late Wet Season,11/19/2021
250,11/5/2021,2.4892,Late Wet Season,11/20/2021
251,11/6/2021,4.3688,Late Wet Season,11/21/2021
252,11/7/2021,0,Late Wet Season,11/22/2021
253,11/8/2021,0,Late Wet Season,11/23/2021
254,11/9/2021,0,Late Wet Season,11/24/2021
255,11/10/2021,0,Late Wet Season,11/25/2021
256,11/11/2021,0,Late Wet Season,11/26/2021
257,11/12/2021,0.1524,Late Wet Season,11/27/2021
258,11/13/2021,0.5588,Late Wet Season,11/28/2021
259,11/14/2021,0,Late Wet Season,11/29/2021
260,11/15/2021,0,Late Wet Season,11/30/2021
261,11/16/2021,0,Late Wet Season,12/1/2021
262,11/17/2021,0,Late Wet Season,12/2/2021
263,11/18/2021,0,Late Wet Season,12/3/2021
264,11/19/2021,0.1016,Late Wet Season,12/4/2021
265,11/20/2021,0.0762,Late Wet Season,12/5/2021
266,11/21/2021,0.127,Late Wet Season,12/6/2021
267,11/22/2021,0.0762,Late Wet Season,12/7/2021
268,11/23/2021,0,Late Wet Season,12/8/2021
269,11/24/2021,0,Late Wet Season,12/9/2021
270,11/25/2021,0,Late Wet Season,12/10/2021
271,11/26/2021,0,Late Wet Season,12/11/2021
272,11/27/2021,0,Late Wet Season,12/12/2021
273,11/28/2021,0,Late Wet Season,12/13/2021
274,11/29/2021,0.0762,Late Wet Season,12/14/2021
275,11/30/2021,0,Late Wet Season,12/15/2021
276,12/1/2021,0,Late Wet Season,12/16/2021
277,12/2/2021,0,Late Wet Season,12/17/2021
278,12/3/2021,0,Late Wet Season,12/18/2021
279,12/4/2021,0,Late Wet Season,12/19/2021
280,12/5/2021,0,Late Wet Season,12/20/2021
281,12/6/2021,0,Late Wet Season,12/21/2021
282,12/7/2021,0,Late Wet Season,12/22/2021
283,12/8/2021,0,Late Wet Season,12/23/2021
284,12/9/2021,0,Late Wet Season,12/24/2021
285,12/10/2021,0,Late Wet Season,12/25/2021
286,12/11/2021,0,Late Wet Season,12/26/2021
287,12/12/2021,0,Late Wet Season,12/27/2021
288,12/13/2021,0,Late Wet Season,12/28/2021
289,12/14/2021,0,Late Wet Season,12/29/2021
290,12/15/2021,0,Late Wet Season,12/30/2021
291,12/16/2021,0.0508,Late Wet Season,12/31/2021
292,12/17/2021,0,Early Dry Season,1/1/2022
293,12/18/2021,0.0254,Early Dry Season,1/2/2022
294,12/19/2021,0.0762,Early Dry Season,1/3/2022
295,12/20/2021,0.0254,Early Dry Season,1/4/2022
296,12/21/2021,0.8128,Early Dry Season,1/5/2022
297,12/22/2021,0,Early Dry Season,1/6/2022
298,12/23/2021,0,Early Dry Season,1/7/2022
299,12/24/2021,0,Early Dry Season,1/8/2022
300,12/25/2021,0,Early Dry Season,1/9/2022
301,12/26/2021,0,Early Dry Season,1/10/2022
302,12/27/2021,0,Early Dry Season,1/11/2022
303,12/28/2021,0,Early Dry Season,1/12/2022
304,12/29/2021,0,Early Dry Season,1/13/2022
305,12/30/2021,0,Early Dry Season,1/14/2022
306,12/31/2021,0.0254,Early Dry Season,1/15/2022
307,1/1/2022,0,Early Dry Season,1/16/2022
308,1/2/2022,0,Early Dry Season,1/17/2022
309,1/3/2022,0.127,Early Dry Season,1/18/2022
310,1/4/2022,0,Early Dry Season,1/19/2022
311,1/5/2022,0,Early Dry Season,1/20/2022
312,1/6/2022,0,Early Dry Season,1/21/2022
313,1/7/2022,0,Early Dry Season,1/22/2022
314,1/8/2022,0,Early Dry Season,1/23/2022
315,1/9/2022,0,Early Dry Season,1/24/2022
316,1/10/2022,0,Early Dry Season,1/25/2022
317,1/11/2022,0.1016,Early Dry Season,1/26/2022
318,1/12/2022,0,Early Dry Season,1/27/2022
319,1/13/2022,0,Early Dry Season,1/28/2022
320,1/14/2022,0,Early Dry Season,1/29/2022
321,1/15/2022,0,Early Dry Season,1/30/2022
322,1/16/2022,0,Early Dry Season,1/31/2022
323,1/17/2022,3.0226,Early Dry Season,2/1/2022
324,1/18/2022,0,Early Dry Season,2/2/2022
325,1/19/2022,0,Early Dry Season,2/3/2022
326,1/20/2022,0,Early Dry Season,2/4/2022
327,1/21/2022,0,Early Dry Season,2/5/2022
328,1/22/2022,0.3048,Early Dry Season,2/6/2022
329,1/23/2022,0.0254,Early Dry Season,2/7/2022
330,1/24/2022,0,Early Dry Season,2/8/2022
331,1/25/2022,0,Early Dry Season,2/9/2022
332,1/26/2022,0.2286,Early Dry Season,2/10/2022
333,1/27/2022,0,Early Dry Season,2/11/2022
334,1/28/2022,0,Early Dry Season,2/12/2022
335,1/29/2022,0,Early Dry Season,2/13/2022
336,1/30/2022,0,Early Dry Season,2/14/2022
337,1/31/2022,0,Early Dry Season,2/15/2022
338,2/1/2022,0,Early Dry Season,2/16/2022
339,2/2/2022,0,Early Dry Season,2/17/2022
340,2/3/2022,0,Early Dry Season,2/18/2022
341,2/4/2022,0,Early Dry Season,2/19/2022
342,2/5/2022,0,Early Dry Season,2/20/2022
343,2/6/2022,0.127,Early Dry Season,2/21/2022
344,2/7/2022,0,Early Dry Season,2/22/2022
345,2/8/2022,0,Early Dry Season,2/23/2022
346,2/9/2022,0.4826,Early Dry Season,2/24/2022
347,2/10/2022,0,Early Dry Season,2/25/2022
348,2/11/2022,0,Early Dry Season,2/26/2022
349,2/12/2022,0,Early Dry Season,2/27/2022
350,2/13/2022,0.1524,Early Dry Season,2/28/2022
351,2/14/2022,0.1016,Early Dry Season,3/1/2022
352,2/15/2022,0,Early Dry Season,3/2/2022
353,2/16/2022,0,Early Dry Season,3/3/2022
354,2/17/2022,0,Early Dry Season,3/4/2022
355,2/18/2022,0,Early Dry Season,3/5/2022
356,2/19/2022,0,Early Dry Season,3/6/2022
357,2/20/2022,0,Early Dry Season,3/7/2022
358,2/21/2022,0,Early Dry Season,3/8/2022
359,2/22/2022,0,Early Dry Season,3/9/2022
360,2/23/2022,0,Early Dry Season,3/10/2022
361,2/24/2022,0,Early Dry Season,3/11/2022
362,2/25/2022,0,Early Dry Season,3/12/2022
363,2/26/2022,0,Early Dry Season,3/13/2022
364,2/27/2022,0,Early Dry Season,3/14/2022
365,2/28/2022,0,Early Dry Season,3/15/2022
366,3/1/2022,0,Early Dry Season,3/16/2022
367,3/2/2022,0,Early Dry Season,3/17/2022
368,3/3/2022,0,Early Dry Season,3/18/2022
369,3/4/2022,0,Early Dry Season,3/19/2022
370,3/5/2022,0,Early Dry Season,3/20/2022
371,3/6/2022,0,Early Dry Season,3/21/2022
372,3/7/2022,0,Early Dry Season,3/22/2022
373,3/8/2022,0.4064,Early Dry Season,3/23/2022
374,3/9/2022,0.4064,Early Dry Season,3/24/2022
375,3/10/2022,0,Early Dry Season,3/25/2022
376,3/11/2022,0,Early Dry Season,3/26/2022
377,3/12/2022,0,Early Dry Season,3/27/2022
378,3/13/2022,0.6858,Early Dry Season,3/28/2022
379,3/14/2022,0,Early Dry Season,3/29/2022
380,3/15/2022,0,Early Dry Season,3/30/2022
381,3/16/2022,0.5334,Early Dry Season,3/31/2022
382,3/17/2022,0,Late Dry Season,4/1/2022
383,3/18/2022,0,Late Dry Season,4/2/2022
384,3/19/2022,0.2286,Late Dry Season,4/3/2022
385,3/20/2022,0,Late Dry Season,4/4/2022
386,3/21/2022,0,Late Dry Season,4/5/2022
387,3/22/2022,0,Late Dry Season,4/6/2022
388,3/23/2022,0,Late Dry Season,4/7/2022
389,3/24/2022,0,Late Dry Season,4/8/2022
390,3/25/2022,1.3716,Late Dry Season,4/9/2022
391,3/26/2022,0,Late Dry Season,4/10/2022
392,3/27/2022,0,Late Dry Season,4/11/2022
393,3/28/2022,0,Late Dry Season,4/12/2022
394,3/29/2022,0,Late Dry Season,4/13/2022
395,3/30/2022,0,Late Dry Season,4/14/2022
396,3/31/2022,0,Late Dry Season,4/15/2022
397,4/1/2022,0,Late Dry Season,4/16/2022
398,4/2/2022,0,Late Dry Season,4/17/2022
399,4/3/2022,0.6858,Late Dry Season,4/18/2022
400,4/4/2022,0.0508,Late Dry Season,4/19/2022
401,4/5/2022,0.9144,Late Dry Season,4/20/2022
402,4/6/2022,0,Late Dry Season,4/21/2022
403,4/7/2022,0,Late Dry Season,4/22/2022
404,4/8/2022,0.5842,Late Dry Season,4/23/2022
405,4/9/2022,0,Late Dry Season,4/24/2022
406,4/10/2022,0,Late Dry Season,4/25/2022
407,4/11/2022,0,Late Dry Season,4/26/2022
408,4/12/2022,0,Late Dry Season,4/27/2022
409,4/13/2022,0,Late Dry Season,4/28/2022
410,4/14/2022,0,Late Dry Season,4/29/2022
411,4/15/2022,1.1684,Late Dry Season,4/30/2022
412,4/16/2022,0.5334,Late Dry Season,5/1/2022
413,4/17/2022,0,Late Dry Season,5/2/2022
414,4/18/2022,0,Late Dry Season,5/3/2022
415,4/19/2022,0,Late Dry Season,5/4/2022
416,4/20/2022,0,Late Dry Season,5/5/2022
417,4/21/2022,0,Late Dry Season,5/6/2022
418,4/22/2022,0,Late Dry Season,5/7/2022
419,4/23/2022,0,Late Dry Season,5/8/2022
420,4/24/2022,0,Late Dry Season,5/9/2022
421,4/25/2022,0,Late Dry Season,5/10/2022
422,4/26/2022,0,Late Dry Season,5/11/2022
423,4/27/2022,0,Late Dry Season,5/12/2022
424,4/28/2022,0,Late Dry Season,5/13/2022
425,4/29/2022,0,Late Dry Season,5/14/2022
426,4/30/2022,0,Late Dry Season,5/15/2022
427,5/1/2022,0.8636,Late Dry Season,5/16/2022
428,5/2/2022,0,Late Dry Season,5/17/2022
429,5/3/2022,0,Late Dry Season,5/18/2022
430,5/4/2022,0.381,Late Dry Season,5/19/2022
431,5/5/2022,0,Late Dry Season,5/20/2022
432,5/6/2022,0,Late Dry Season,5/21/2022
433,5/7/2022,0,Late Dry Season,5/22/2022
434,5/8/2022,2.3622,Late Dry Season,5/23/2022
435,5/9/2022,0,Late Dry Season,5/24/2022
436,5/10/2022,0,Late Dry Season,5/25/2022
437,5/11/2022,0,Late Dry Season,5/26/2022
438,5/12/2022,0,Late Dry Season,5/27/2022
439,5/13/2022,0,Late Dry Season,5/28/2022
440,5/14/2022,0,Late Dry Season,5/29/2022
441,5/15/2022,0,Late Dry Season,5/30/2022
442,5/16/2022,0,Late Dry Season,5/31/2022
443,5/17/2022,0,Late Dry Season,6/1/2022
444,5/18/2022,0,Late Dry Season,6/2/2022
445,5/19/2022,2.7686,Late Dry Season,6/3/2022
446,5/20/2022,0.1524,Late Dry Season,6/4/2022
447,5/21/2022,2.159,Late Dry Season,6/5/2022
448,5/22/2022,0,Late Dry Season,6/6/2022
449,5/23/2022,0,Late Dry Season,6/7/2022
450,5/24/2022,0,Late Dry Season,6/8/2022
451,5/25/2022,0,Late Dry Season,6/9/2022
452,5/26/2022,0,Late Dry Season,6/10/2022
453,5/27/2022,0,Late Dry Season,6/11/2022
454,5/28/2022,0,Late Dry Season,6/12/2022
455,5/29/2022,0.5588,Late Dry Season,6/13/2022
456,5/30/2022,0.2794,Late Dry Season,6/14/2022
457,5/31/2022,0,Late Dry Season,6/15/2022
458,6/1/2022,0.0254,Late Dry Season,6/16/2022
459,6/2/2022,0.127,Late Dry Season,6/17/2022
460,6/3/2022,0.381,Late Dry Season,6/18/2022
461,6/4/2022,5.7912,Late Dry Season,6/19/2022
462,6/5/2022,0,Late Dry Season,6/20/2022
463,6/6/2022,0,Late Dry Season,6/21/2022
464,6/7/2022,0,Late Dry Season,6/22/2022
465,6/8/2022,0,Late Dry Season,6/23/2022
466,6/9/2022,0.8128,Late Dry Season,6/24/2022
467,6/10/2022,2.8956,Late Dry Season,6/25/2022
468,6/11/2022,6.4262,Late Dry Season,6/26/2022
469,6/12/2022,0.3048,Late Dry Season,6/27/2022
470,6/13/2022,0.0254,Late Dry Season,6/28/2022
471,6/14/2022,0,Late Dry Season,6/29/2022
472,6/15/2022,0.0254,Late Dry Season,6/30/2022
473,6/16/2022,0,Early Wet Season,7/1/2022
474,6/17/2022,0,Early Wet Season,7/2/2022
475,6/18/2022,0,Early Wet Season,7/3/2022
476,6/19/2022,1.0922,Early Wet Season,7/4/2022
477,6/20/2022,0,Early Wet Season,7/5/2022
478,6/21/2022,0.889,Early Wet Season,7/6/2022
479,6/22/2022,0,Early Wet Season,7/7/2022
480,6/23/2022,0,Early Wet Season,7/8/2022
481,6/24/2022,0,Early Wet Season,7/9/2022
482,6/25/2022,3.4544,Early Wet Season,7/10/2022
483,6/26/2022,0.6858,Early Wet Season,7/11/2022
484,6/27/2022,0,Early Wet Season,7/12/2022
485,6/28/2022,0.1016,Early Wet Season,7/13/2022
486,6/29/2022,0.1524,Early Wet Season,7/14/2022
487,6/30/2022,1.0414,Early Wet Season,7/15/2022
488,7/1/2022,0,Early Wet Season,7/16/2022
489,7/2/2022,0,Early Wet Season,7/17/2022
490,7/3/2022,2.9718,Early Wet Season,7/18/2022
491,7/4/2022,2.3368,Early Wet Season,7/19/2022
492,7/5/2022,0,Early Wet Season,7/20/2022
493,7/6/2022,0,Early Wet Season,7/21/2022
494,7/7/2022,0,Early Wet Season,7/22/2022
495,7/8/2022,0,Early Wet Season,7/23/2022
496,7/9/2022,1.2954,Early Wet Season,7/24/2022
497,7/10/2022,0,Early Wet Season,7/25/2022
498,7/11/2022,1.8542,Early Wet Season,7/26/2022
499,7/12/2022,0,Early Wet Season,7/27/2022
500,7/13/2022,0,Early Wet Season,7/28/2022
501,7/14/2022,1.9558,Early Wet Season,7/29/2022
502,7/15/2022,0.0254,Early Wet Season,7/30/2022
503,7/16/2022,0,Early Wet Season,7/31/2022
504,7/17/2022,0,Early Wet Season,8/1/2022
505,7/18/2022,5.0292,Early Wet Season,8/2/2022
506,7/19/2022,0.2032,Early Wet Season,8/3/2022
507,7/20/2022,0,Early Wet Season,8/4/2022
508,7/21/2022,0,Early Wet Season,8/5/2022
509,7/22/2022,0.1524,Early Wet Season,8/6/2022
510,7/23/2022,0.0508,Early Wet Season,8/7/2022
511,7/24/2022,0,Early Wet Season,8/8/2022
512,7/25/2022,0,Early Wet Season,8/9/2022
513,7/26/2022,0,Early Wet Season,8/10/2022
514,7/27/2022,1.3462,Early Wet Season,8/11/2022
515,7/28/2022,0,Early Wet Season,8/12/2022
516,7/29/2022,0,Early Wet Season,8/13/2022
517,7/30/2022,0,Early Wet Season,8/14/2022
518,7/31/2022,0,Early Wet Season,8/15/2022
